run_id,run_type,model,epochs,imgsz,batch,optimizer,lr0,weight_decay,patience,augmentation,notes,train_time_min,box_precision,box_recall,box_map50,box_map50_95,seg_precision,seg_recall,seg_map50,seg_map50_95
E00_sanity,sanity,yolo26n-seg.pt,3,640,8,AdamW,0.001,0.0001,3,default,Sanity check — 3 epochs to verify GPU and pipeline,28.90178966919581,0.6949293821544701,0.5,0.6130105133125888,0.3076086099959247,0.6747296395470433,0.51860990509955,0.6235467765972644,0.3305910712571281
E01_baseline,baseline,yolo26n-seg.pt,10,640,8,AdamW,0.001,0.0001,5,default,"Baseline — pretrained yolo26n, default lr0=1e-3",77.14000393152237,0.696793571628388,0.6441614119278437,0.6941584615379197,0.3967118856371995,0.7244936492251096,0.6375065831636336,0.7223325584319231,0.4202326925258942
E02_lr1e4,tuning,yolo26n-seg.pt,10,640,8,AdamW,0.0001,0.0001,5,default,LR tuning — lr0=1e-4,81.44369926850001,0.6866257803012586,0.5681818181818182,0.640600391988885,0.370441484508979,0.7335730314436996,0.6060606060606061,0.6740886921622231,0.3810410590037599
E03_lr3e4,tuning,yolo26n-seg.pt,10,640,8,AdamW,0.0003,0.0001,5,default,LR tuning — lr0=3e-4,80.04058218797049,0.7163550392805014,0.5931321898761512,0.6565457680171554,0.3758979357579556,0.8401970337521263,0.6287878787878788,0.7147043622261993,0.4018516808565803
E04_imgsz512,tuning,yolo26n-seg.pt,10,512,8,AdamW,0.0003,0.0001,5,default,"Image size tuning — imgsz=512, lr0=3e-4",74.29293303092321,0.6701931365865592,0.6590909090909091,0.6696478973917086,0.3829698004230076,0.6927071092201369,0.6660254781935957,0.7000942348954845,0.3974925987766499
E05_imgsz800,tuning,yolo26n-seg.pt,10,800,4,AdamW,0.0003,0.0001,5,default,"Image size tuning — imgsz=800, batch reduced to 4 for VRAM",176.71169449090957,0.7008994736074966,0.7045454545454546,0.7270751155385959,0.4160889244510271,0.7533690215163398,0.7173905398050711,0.7575489031310965,0.4370936957038719
E06_wd5e4,tuning,yolo26n-seg.pt,10,640,8,AdamW,0.0003,0.0005,5,default,Weight decay tuning — weight_decay=5e-4,175.53586072921752,0.7799428788304834,0.6175811056748614,0.7070605642324248,0.4108828571437072,0.7900542116442527,0.6272010988826582,0.7199302443275697,0.420799065369408
E07_wd1e3,tuning,yolo26n-seg.pt,10,640,8,AdamW,0.0003,0.001,5,default,Weight decay tuning — weight_decay=1e-3,1005.2852921923002,0.7367087956148234,0.5935473917379134,0.6465860134728172,0.3725694231640131,0.7649185675132353,0.6162746644651861,0.6902729111347506,0.4019614312913973
E08_official_loss,tuning,yolo26n-seg.pt,10,800,4,AdamW,0.0003,0.0001,5,default,"Official YOLO26n loss weights: box=5.63, cls=0.56, dfl=9.04",121.85389931201937,0.781230759673481,0.5951896255861426,0.6949824569455667,0.4091395218096458,0.8225416357494422,0.6320807792469499,0.7543120676126025,0.4274535049401208
E09_official_optimizer,tuning,yolo26n-seg.pt,10,800,4,AdamW,0.0003,0.00064,5,default,"Official YOLO26n optimizer: momentum=0.947, weight_decay=6.4e-4",142.09573222398757,0.796757515357285,0.5227272727272727,0.667292218682882,0.3843766569621664,0.7713005266385351,0.5757575757575758,0.6982405491648607,0.4090685594041875
E10_official_augment,tuning,yolo26n-seg.pt,10,800,4,AdamW,0.0003,0.0001,5,copy_paste+scale,"Official augmentation: copy_paste=0.075, scale=0.562",123.09153355757395,0.6353370313557007,0.6666666666666666,0.6949182996681477,0.3848267832443245,0.6859061757871261,0.696969696969697,0.7378172089064741,0.423989982424661
E11_musgd,tuning,yolo26n-seg.pt,10,800,4,auto,0.0054,0.00064,5,default,"MuSGD via optimizer=auto, official lr0=0.0054, wd=6.4e-4",125.18269131183624,0.7549466528443283,0.7272727272727273,0.7800255081662845,0.4458688953531092,0.8467399476659224,0.7121212121212122,0.7869756271463908,0.4696555560673878
E12_cos_lr,tuning,yolo26n-seg.pt,10,800,4,AdamW,0.0003,0.0001,5,default,"Cosine LR decay: cos_lr=True, lrf=0.001",179.8307841181755,0.7728656096574038,0.6742424242424242,0.7542851433870894,0.4261451763889832,0.7986358384112364,0.6818181818181818,0.7784604309290879,0.4489463835096925
E_FINAL_100ep,final,yolo26n-seg.pt,10,800,4,auto,0.0054,0.00064,5,default,Final 100-epoch run using best config from E11_musgd,144.73343183199566,0.8426693387818224,0.6590909090909091,0.7504190163543771,0.4361110994063096,0.8825354769022908,0.683028863848149,0.7885862548555063,0.4651125558665888
E13_phase1_best,tuning,yolo26n-seg.pt,10,800,4,AdamW,0.0003,0.0001,5,default,"Phase 1 best combo: lr0=3e-4, imgsz=800, wd=1e-4",130.06685680945714,0.7397311524923359,0.6244351326501357,0.6926904863441363,0.40378726108399904,0.765481980736733,0.6429297741245661,0.7183601148840307,0.42437948929270747
