run_id,model,epochs,imgsz,batch,optimizer,lr0,weight_decay,patience,train_time_min,box_precision,box_recall,box_map50,box_map50_95,seg_precision,seg_recall,seg_map50,seg_map50_95
E01,yolo11n-seg.pt,10,640,2,AdamW,0.001,0.0001,3,35.11530063,0.680428116,0.696969697,0.716347182,0.417842425,0.712598903,0.713793129,0.758089005,0.435766342
E02,yolo11n-seg.pt,10,640,2,AdamW,0.0001,0.0001,3,37.28293149,0.72116082,0.651515152,0.705145283,0.405338309,0.724025815,0.643939394,0.70331285,0.414529004
E03,yolo11n-seg.pt,10,640,2,AdamW,0.0003,0.0001,3,36.77361032,0.743737435,0.659605817,0.705429969,0.420485882,0.820178557,0.725636137,0.765576795,0.434673362
E04,yolo11n-seg.pt,10,512,2,AdamW,0.0003,0.0001,3,35.40659665,0.776378402,0.683860045,0.765962733,0.43990393,0.807566654,0.699448633,0.777162957,0.452658191
E05,yolo11n-seg.pt,10,800,2,AdamW,0.0003,0.0001,3,35.97620733,0.810443485,0.681818182,0.736197341,0.435032241,0.833480476,0.674242424,0.769199894,0.45634767
E06,yolo11n-seg.pt,10,800,2,AdamW,0.0003,0.0005,3,32.55659274,0.786167081,0.668475559,0.754314305,0.427089481,0.803986491,0.683627075,0.754664171,0.435760326
E07,yolo11n-seg.pt,10,800,2,AdamW,0.0003,0.001,3,33.2418551,0.806187566,0.630258034,0.73510009,0.426668849,0.816255106,0.639443658,0.735586844,0.443660738
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Unseen Test Results,,,,,,,,,,,,,,,,,
best_run_id,model,optimizer,epochs,imgsz,batch,lr0,weight_decay,test_box_precision,test_box_recall,test_box_map50,test_box_map50_95,test_seg_precision,test_seg_recall,test_seg_map50,test_seg_map50_95,,
E05,yolo11n-seg.pt,AdamW,10,800,2,0.0003,0.0001,0.723105432,0.698863636,0.73834307,0.456180601,0.717226527,0.693181818,0.743118793,0.453504488,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
External Dataset Results,,,,,,,,,,,,,,,,,
model_family,best_run_id,model,imgsz,batch,lr0,weight_decay,external_box_precision,external_box_recall,external_box_map50,external_box_map50_95,external_seg_precision,external_seg_recall,external_seg_map50,external_seg_map50_95,,,
YOLO11,E05,yolo11n-seg.pt,800,2,0.0003,0.0001,0.723220998,0.698863636,0.738396361,0.456178719,0.717341153,0.693181818,0.743114692,0.453562508,,,
